Key,Summary,Status,Project,Current Size,Planned Size,Num of CPCRs/SWCRs,Fix Version/s,CSL Programs,Priority Score,Feature Type,Level
AFMSCSLWCS-3275,SUMMARY REDACTED,Open,AFMS_CSL_WCS,0,0,42,"Build 26, Build 27, CSL_R8, CSL_J6 Build 21.7J, CSL_9A2 Build 24.0.4A, CSL_R8_InCapacity",CSL TI,2655,,1
AFMSCSLADS-7735,SUMMARY REDACTED,Open,AFMS_CSL_ADS,0,0,82,"CSL_R8, CSL_R8_InCapacity",CSL TI,2655,,1
CSLSPY-94619,SUMMARY REDACTED,Open,CSL_SPY,53.1,20,,"CSL_R8, CSL_R8_InCapacity",CSL TI,2655,Product,1
CSLSPY-96092,SUMMARY REDACTED,Open,CSL_SPY,8.5,8.5,,"CSL_R8, CSL_R8_InCapacity",CSL TI,2655,Team,2
CSLSPY-96380,SUMMARY REDACTED,Open,CSL_SPY,44.6,44.6,,"CSL_R8, CSL_R8_InCapacity",CSL TI,2655,Team,2
CSLMP-45550,SUMMARY REDACTED,Open,CSL_MP,71,70,,"CSL_R8, CSL_R8_InCapacity",CSL TI,2655,Product,1
CSLMP-46533,SUMMARY REDACTED,Open,CSL_MP,16,16,,"CSL_R8, CSL_R8_InCapacity",CSL TI,2655,Team,2
CSLMP-46752,SUMMARY REDACTED,Open,CSL_MP,7,7,,"CSL_R8, CSL_R8_InCapacity",CSL TI,2655,Team,2
CSLMP-47303,SUMMARY REDACTED,Open,CSL_MP,48,48,,"CSL_R8, CSL_R8_OutOfCapacity",CSL TI,2655,Team,2
AFMSCSLCND-3972,SUMMARY REDACTED,Open,AFMS_CSL_CND,0,0,77,"CSL_R8, CSL_R8_InCapacity",CSL TI,2655,,1
AFMSCSLSPY-5836,SUMMARY REDACTED,Open,AFMS_CSL_SPY,4,4,0,"CSL_R8, CSL_R8_InCapacity",CSL TI,2655,,1
AFMSCSLSPY-5835,SUMMARY REDACTED,Open,AFMS_CSL_SPY,0,0,1,"CSL_R8, CSL_R8_InCapacity",CSL TI,2655,,1
AFMSCSLSPY-5834,SUMMARY REDACTED,Open,AFMS_CSL_SPY,0,0,33,"CSL_R8, CSL_R8_InCapacity",CSL TI,2655,,1
CSLADS-55682,SUMMARY REDACTED,Open,CSL_ADS,10,10,,"CSL_R8, CSL_R8_InCapacity",CSL TI,2655,Product,1
CSLADS-56718,SUMMARY REDACTED,Open,CSL_ADS,10,10,,"CSL_R8, CSL_R8_InCapacity",CSL TI,2655,Team,2
CSLACI-40394,SUMMARY REDACTED,Open,CSL_ACI,2,2,,"CSL_R8, CSL_R8_InCapacity",CSL TI,2655,Product,1
CSLACI-41469,SUMMARY REDACTED,Open,CSL_ACI,2,2,,"CSL_R8, CSL_R8_InCapacity",CSL TI,2655,Team,2
CSLPBL9D-116,SUMMARY REDACTED,Open,CSLP_BL9D,182.5,277,,CSL_R8,CSL_9.1,2650,,0
CSLMP-45389,SUMMARY REDACTED,Open,CSL_MP,4.5,5,,"CSL_R8, CSL_R8_InCapacity",CSL_9.1,2650,Product,1
CSLMP-46683,SUMMARY REDACTED,Open,CSL_MP,2.5,2.5,,"CSL_R8, CSL_R8_InCapacity",CSL_9.1,2650,Team,2
CSLMP-46844,SUMMARY REDACTED,Open,CSL_MP,2,2,,"CSL_R8, CSL_R8_InCapacity",CSL_9.1,,Team,2
CSLWCS-42573,SUMMARY REDACTED,Open,CSL_WCS,84,32,,"CSL_R8, CSL_R8_OutOfCapacity",CSL_9.1,2650,Product,1
